Galaxy     , omega_eps (rads/s), Distance (Mpc), HI Mass (109M⊙​) , HI Radius (Kpc), Luminosity (L⊙​/pc2) , Stellar Density (1012M⊙​/Kpc)
UGC09133   ,               1.97,          57.1 ,            33.43,           60.35,               282.93,                          2.92
UGC00128   ,               2.23,          64.5 ,             7.43,           31.27,                12.02,                          2.42
UGC06614   ,               2.49,          88.7 ,            21.89,           60.63,               124.35,                          1.90
UGC02487   ,               2.49,          69.1 ,            17.96,           40.2 ,               489.96,                          3.54
UGC01230   ,               2.74,          53.7 ,             6.43,           26.29,                 7.62,                          2.96
NGC6674    ,               2.81,          51.2 ,            32.17,           50.02,               214.65,                          4.09
NGC5055    ,               2.89,           9.9 ,            11.72,           35.06,               152.92,                          3.04
UGC07125   ,               3.09,          19.8 ,             4.63,           23.04,                 2.71,                          2.78
NGC0801    ,               3.32,          80.7 ,            23.20,           44.99,               312.57,                          3.65
NGC3198    ,               3.33,          13.8 ,            10.87,           35.66,                38.28,                          2.72
UGC05005   ,               3.38,          53.7 ,             3.09,           21.61,                 4.10,                          2.11
UGC02885   ,               3.40,          80.6 ,            40.08,           74.24,               403.53,                          2.31
UGC05750   ,               3.44,          58.7 ,             1.10,           16.79,                 3.34,                          1.24
NGC1003    ,               3.49,          11.4 ,             5.88,           33.33,                 6.82,                          1.68
NGC2841    ,               3.58,          14.1 ,             9.78,           45.12,               188.12,                          1.53
NGC5371    ,               3.78,          39.7 ,            11.18,           30.03,               340.39,                          3.95
NGC5033    ,               3.79,          15.7 ,            11.31,           29.53,               110.51,                          4.13
NGC6503    ,               4.30,           6.26,             1.74,           14.05,                12.85,                          2.81
NGC2998    ,               4.61,          68.1 ,            23.45,           43.58,               150.90,                          3.93
DDO161     ,               4.69,           7.5 ,             1.38,           10.69,                 0.55,                          3.84
NGC7331    ,               4.90,          14.7 ,            11.07,           27.01,               250.63,                          4.83
NGC4183    ,               4.92,          18.0 ,             3.51,           16.07,                10.84,                          4.32
F563-1     ,               5.02,          48.9 ,             3.20,           23.47,                 1.90,                          1.85
F583-1     ,               5.16,          35.4 ,             2.13,           15.65,                 0.99,                          2.76
NGC4100    ,               5.20,          18.0 ,             3.10,           18.06,                59.39,                          3.03
UGC11820   ,               5.21,          18.1 ,             1.98,           12.99,                 0.97,                          3.73
NGC1090    ,               5.24,          37.0 ,             8.78,           30.49,                72.05,                          3.01
UGC03205   ,               5.27,          50.0 ,             9.68,           28.6 ,               113.64,                          3.77
UGC03546   ,               5.29,          28.7 ,             2.68,           18.37,               101.34,                          2.52
NGC4559    ,               5.30,           9.0 ,             5.81,           21.16,                19.38,                          4.13
UGC06930   ,               5.44,          18.0 ,             3.24,           16.76,                 8.93,                          3.67
NGC4157    ,               5.46,          18.0 ,             8.23,           24.09,               105.62,                          4.51
NGC2955    ,               5.71,          97.9 ,            28.95,           40.34,               319.42,                          5.66
UGC06983   ,               5.74,          18.0 ,             2.97,           16.07,                 5.30,                          3.66
UGC12732   ,               5.81,          13.2 ,             3.66,           17.41,                 1.67,                          3.84
NGC6195    ,               5.83,         127.8 ,            20.91,           40.89,               391.08,                          3.98
UGC06786   ,               5.87,          29.3 ,             5.03,           20.31,                73.41,                          3.88
UGC00731   ,               5.99,          12.5 ,             1.81,           11.57,                 0.32,                          4.30
NGC5985    ,               6.16,          39.7 ,            11.59,           39.5 ,               208.73,                          2.36
UGC11455   ,               6.24,          78.6 ,            13.34,           43.44,               374.32,                          2.25
UGC12632   ,               6.27,           9.77,             1.74,           12.6 ,                 1.30,                          3.50
NGC2403    ,               6.32,           3.16,             3.20,           15.11,                10.04,                          4.46
NGC3893    ,               6.47,          18.0 ,             5.80,           20.84,                58.53,                          4.25
F568-3     ,               6.54,          82.4 ,             3.20,           16.14,                 8.35,                          3.90
F568-V1    ,               6.55,          80.6 ,             2.49,           14.38,                 3.83,                          3.83
NGC6946    ,               6.83,           5.52,             5.67,           21.25,                66.17,                          4.00
UGC08490   ,               6.95,           4.65,             0.72,            7.8 ,                 1.02,                          3.77
NGC4088    ,               6.98,          18.0 ,             8.23,           22.25,               107.29,                          5.29
NGC2903    ,               7.01,           6.6 ,             2.55,           13.76,                81.86,                          4.29
NGC3741    ,               7.03,           3.21,             0.18,            4.2 ,                 0.03,                          3.28
UGC06446   ,               7.11,          12.0 ,             1.38,           10.33,                 0.99,                          4.11
F579-V1    ,               7.13,          89.5 ,             2.25,           20.96,                11.85,                          1.63
UGC07524   ,               7.15,           4.74,             1.78,           12.11,                 2.44,                          3.86
ESO563-G021,               7.31,          60.8 ,            24.30,           55.71,               311.18,                          2.49
F574-1     ,               7.68,          96.8 ,             3.52,           16.19,                 6.54,                          4.28
NGC5585    ,               8.06,           7.06,             1.68,           10.92,                 2.94,                          4.49
UGC06917   ,               8.30,          18.0 ,             2.02,           12.67,                 6.83,                          4.01
NGC7814    ,               8.52,          14.4 ,             1.07,           12.15,                74.53,                          2.31
NGC3917    ,               8.82,          18.0 ,             1.89,           14.08,                21.97,                          3.03
NGC0891    ,               8.99,           9.91,             4.46,           18.16,               138.34,                          4.31
F571-8     ,               9.17,          53.3 ,             1.78,           24.55,                10.16,                          0.94
IC4202     ,               9.30,         100.4 ,            12.33,           32.13,               179.75,                          3.80
UGC08550   ,               9.32,           6.7 ,             0.29,            5.59,                 0.29,                          2.93
F583-4     ,               9.33,          53.3 ,             0.64,            7.8 ,                 1.72,                          3.35
NGC0100    ,               9.37,          13.5 ,             1.99,           16.36,                 3.23,                          2.37
NGC0024    ,               9.55,           7.3 ,             0.68,            7.29,                 3.89,                          4.05
UGC08286   ,               9.82,           6.5 ,             0.64,            8.07,                 1.26,                          3.14
NGC4217    ,               9.99,          18.0 ,             2.56,           16.7 ,                85.30,                          2.92
NGC3109    ,              10.24,           1.33,             0.48,            6.0 ,                 0.19,                          4.22
NGC3521    ,              10.25,           7.7 ,             4.15,           18.85,                84.84,                          3.72
ESO079-G014,              10.37,          28.7 ,             3.14,           17.67,                51.73,                          3.20
F568-1     ,              10.52,          90.7 ,             4.50,           16.31,                 6.25,                          5.38
ESO116-G012,              11.02,          13.0 ,             1.08,            9.58,                 4.29,                          3.76
F563-V2    ,              11.08,          59.7 ,             2.17,           11.37,                 2.99,                          5.34
UGC01281   ,              11.37,           5.27,             0.29,            5.26,                 0.35,                          3.38
NGC7793    ,              11.40,           3.61,             0.86,            7.35,                 7.05,                          5.07
UGC05721   ,              11.51,           6.18,             0.56,            6.74,                 0.53,                          3.94
UGC07151   ,              12.53,           6.87,             0.62,            6.39,                 2.28,                          4.80
UGC07323   ,              13.41,           8.0 ,             0.72,            7.14,                 4.11,                          4.51
UGC04278   ,              13.76,           9.51,             1.12,            8.9 ,                 1.31,                          4.48
NGC3972    ,              13.93,          18.0 ,             1.21,           10.05,                14.35,                          3.83
UGC07603   ,              14.20,           4.7 ,             0.26,            4.37,                 0.38,                          4.30
UGC07399   ,              14.86,           8.43,             0.75,            7.85,                 1.16,                          3.85
DDO064     ,              15.35,           6.8 ,             0.21,            3.49,                 0.16,                          5.51